"","name","gender","instType","country","lead","degOut","degIn","bet","eig","close","cores","res","degAll","vertID"
"AndrioloA","AndrioloA",NA,NA,NA,"N",NA,1,0,0.0254198798940062,1.78954903364352e-05,1,0.022604793868355,1,18
"ApazaM","ApazaM",NA,NA,NA,"N",NA,1,0,0.000370131872611271,1.77525297354873e-05,1,0.273102274082305,1,19
"AraújoD","AraújoD",NA,NA,NA,"N",NA,1,0,2.41723870021164e-05,1.76928520877565e-05,1,0.276561868938396,1,20
"AriasA","AriasA","Male","Government","Argentina","Y",7,1,5,0.0698521330704291,1.79311086804497e-05,3,0.38905476617252,8,21
"AriasSchreiberM","AriasSchreiberM",NA,NA,NA,"N",NA,1,0,0.00238970234677571,1.7812928623595e-05,1,0.25290656934066,1,22
"ArimM","ArimM",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,23
"AuriolesGamboaD","AuriolesGamboaD","Male","University","México","Y",2,1,2,0,6.680651497134e-06,1,0.289868781497759,3,24
"AvilaI","AvilaI",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706613,1,25
"AzeredoM","AzeredoM",NA,NA,NA,"N",NA,1,0,0.0302531297955328,1.78721426911872e-05,1,0.0257277051469104,1,26
"AzevedoA","AzevedoA","Male","University","Brazil","Y",3,3,36.7151515151515,0.164477450360308,1.79565451607111e-05,4,1.12812571964306,6,27
"BakerA","BakerA",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853977,1,28
"BakerC","BakerC",NA,NA,NA,"N",NA,2,0,0.0707985978522804,1.78868478008121e-05,2,0.431182385714387,2,29
"BaldassinP","BaldassinP","Female","Other","Brazil","Y",5,NA,0,0,6.34497636496304e-06,1,0.276803592808417,5,30
"BarbosaC","BarbosaC",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,31
"BarbosaL","BarbosaL",NA,NA,NA,"N",NA,2,0,0.0780596882707171,1.79015771289451e-05,1,0.503793289898753,2,32
"BarbosaT","BarbosaT",NA,NA,NA,"N",NA,1,0,0,6.31293204128658e-06,1,0.276803592808417,1,33
"BarcellosJ","BarcellosJ",NA,NA,NA,"N",NA,1,0,0.00125396385282819,1.77793581651702e-05,1,0.264263954280136,1,34
"BarcellosL","BarcellosL",NA,NA,NA,"N",NA,1,0,0.0908235148421699,1.79179358537896e-05,1,0.631431555613281,1,35
"BarreraA","BarreraA",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,36
"BarriosGarridoH","BarriosGarridoH",NA,NA,NA,"N",NA,3,0,0.0999310062022093,1.79272512145713e-05,3,0.722506469213675,3,37
"BarrosN","BarrosN",NA,NA,NA,"N",NA,1,0,0.000682510495027479,1.78021469389208e-05,1,0.269978487858143,1,38
"BassoiM","BassoiM",NA,NA,NA,"N",NA,1,0,0.0691792642022599,1.78916481786302e-05,1,0.414989049214182,1,39
"BastidaR","BastidaR",NA,NA,NA,"N",NA,7,0,0.19431291365028,1.79243592041585e-05,4,1.66632554369439,7,40
"BazzaloM","BazzaloM",NA,NA,NA,"N",NA,5,0,0.147259685492226,1.7976235416779e-05,4,1.19579326211384,5,41
"BeltránPedrerosS","BeltránPedrerosS",NA,NA,NA,"N",NA,3,0,0.074925703211227,1.78903678259625e-05,3,0.472453439303853,3,42
"BennettM","BennettM",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706614,1,43
"BermúdezVillapolL","BermúdezVillapolL","Male","NGO","Venezuela","Y",5,NA,0,0,6.34497636496304e-06,1,0.276803592808417,5,44
"BertozziC","BertozziC","Female","University","Brazil","Y",1,3,2.03571428571429,0.185225950611499,1.79275726066691e-05,4,1.56215741767635,4,45
"BevilaquaC","BevilaquaC",NA,NA,NA,"N",NA,1,0,0.000263839161275713,1.77698800533096e-05,1,0.27416520119566,1,46
"BlackA","BlackA",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,47
"BolañosJiménezJ","BolañosJiménezJ","Male","NGO","Venezuela","Y",2,3,51.5333333333333,0.0800094260030277,1.79665462908065e-05,3,0.186644305326496,5,48
"BonvicinoC","BonvicinoC",NA,NA,NA,"N",NA,1,0,0.00830676280403474,1.78753373969934e-05,1,0.19373596476807,1,49
"BordinoP","BordinoP","Male","NGO","Argentina","Y",3,3,10.9285714285714,0.195031426427845,1.79588025070488e-05,4,1.60211874756042,6,50
"BorgesMartinsM","BorgesMartinsM",NA,NA,NA,"N",NA,1,0,0.0254198798940063,1.78954903364352e-05,1,0.0226047938683549,1,51
"BorobiaM","BorobiaM","Female","Other","Brazil","Y",4,2,74.9,0.222047952698711,1.79617056435679e-05,4,1.45438461776285,6,52
"BoteroN","BoteroN",NA,NA,NA,"N",NA,1,0,0.00729709419670692,1.78510862385976e-05,1,0.203832650841348,1,53
"BottaS","BottaS","Female","University","Brazil","Y",2,NA,0,0.106595801198542,1.79230741656809e-05,2,0.789154419177002,2,54
"BravoE","BravoE","Male","University","México","Y",3,NA,0,0,6.67895594560658e-06,1,0.276803592808417,3,55
"BrownellR","BrownellR",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,56
"BurenA","BurenA",NA,NA,NA,"N",NA,1,0,0.00489004398381785,1.78269007932971e-05,1,0.227903152970239,1,57
"CaballeroS","CaballeroS","Female","University","Colombia","Y",21,4,425.596825396825,0.389759182824579,1.79707436293714e-05,4,0.840536820740268,25,58
"CabreraE","CabreraE","Female","NGO","Chile","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,59
"CampelloM","CampelloM",NA,NA,NA,"N",NA,1,0,0.000263839161275715,1.77698800533096e-05,1,0.27416520119566,1,60
"CampolimM","CampolimM",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,61
"CaonG","CaonG",NA,NA,NA,"N",NA,2,0,0.0945991440962661,1.79291797400269e-05,2,0.669187848154244,2,62
"CappozzoH","CappozzoH","Male","Government","Argentina","Y",11,1,10,0,6.54313232830821e-06,2,0.342129536255125,12,63
"CárdenasHinojosaG","CárdenasHinojosaG",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,64
"CarlsonC","CarlsonC",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,65
"CarmoN","CarmoN",NA,NA,NA,"N",NA,1,0,0.00823456072637811,1.78810907465355e-05,1,0.194457985544636,1,66
"CarmoP","CarmoP",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,67
"CarvajalR","CarvajalR",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,68
"CarvalhoD","CarvalhoD",NA,NA,NA,"N",NA,1,0,0.00720958704442412,1.78195944260309e-05,1,0.204707722364176,1,69
"CarvalhoV","CarvalhoV","Male","University","Brazil","Y",5,NA,0,0.00290496532461028,1.78526796872211e-05,2,0.247753939562315,5,70
"CasconP","CasconP",NA,NA,NA,"N",NA,1,0,2.41723870021159e-05,1.76928520877565e-05,1,0.276561868938396,1,71
"CassiniM","CassiniM",NA,NA,NA,"N",NA,1,0,0,6.54227618873158e-06,1,0.276803592808417,1,72
"CastelblancoMartínezD","CastelblancoMartínezD","Female","Government","México","Y",3,NA,0,0,6.31301174851486e-06,1,0.276803592808417,3,73
"CastillaC","CastillaC",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,74
"CastilloV","CastilloV",NA,NA,NA,"N",NA,1,0,0,6.37702231320107e-06,1,0.276803592808417,1,75
"CastineiraE","CastineiraE",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706615,1,76
"CatãoDiasJ","CatãoDiasJ",NA,NA,NA,"N",NA,2,0,0.0937208205538658,1.78938892368256e-05,2,0.66040461273024,2,77
"CorcueraJ","CorcueraJ",NA,NA,NA,"N",NA,1,0,0,6.54244739872291e-06,1,0.276803592808417,1,78
"CordeiroA","CordeiroA",NA,NA,NA,"N",NA,1,0,0.00720958704442412,1.78195944260309e-05,1,0.204707722364176,1,79
"CorreaT","CorreaT",NA,NA,NA,"N",NA,1,0,0.00830676280403474,1.78753373969934e-05,1,0.19373596476807,1,80
"CoscarellaM","CoscarellaM",NA,NA,NA,"N",NA,1,0,0.00480869789343702,1.78256296903688e-05,1,0.228716613874047,1,81
"CostaP","CostaP","Female","University","Uruguay","Y",3,1,2.5,0,6.47559348814319e-06,2,0.293135078670094,4,82
"CremerM","CremerM",NA,NA,NA,"N",NA,6,0,0.173306310205303,1.79736506281791e-05,4,1.45625950924461,6,83
"CrespiAbrilA","CrespiAbrilA","Male","Government","Argentina","Y",3,NA,0,0.0529455163873963,1.79089508936567e-05,2,0.252651571065546,3,84
"CrespoE","CrespoE","Male","Government","Argentina","Y",20,5,741.390476190476,0.568441992206294,1.79917597740235e-05,5,0.564413097299895,25,85
"CuencaS","CuencaS",NA,NA,NA,"N",NA,2,0,0.0151488577871925,1.78609702079017e-05,2,0.125315014936493,2,86
"CunhaH","CunhaH","Female","University","Brazil","Y",2,2,7.71515151515151,0.0892623784534651,1.79459110241731e-05,4,0.565420236570078,4,87
"DallaRosaL","DallaRosaL",NA,NA,NA,"N",NA,3,0,0.143646194849343,1.79333596355941e-05,2,1.15965835568502,3,88
"DanilewiczD","DanilewiczD","Male","NGO","Brazil","Y",14,6,714.063492063492,0.761688911979208,1.79755891499344e-05,5,2.67539839699388,20,89
"DansS","DansS",NA,NA,NA,"N",NA,1,0,0.00489004398381785,1.78269007932971e-05,1,0.227903152970239,1,90
"daSilvaV","daSilvaV","Female","Government","Brazil","Y",11,2,272,0.0906655147699124,1.7964932451854e-05,3,1.14701410685973,13,91
"DauraJorgeF","DauraJorgeF",NA,NA,NA,"N",NA,1,0,0.0030860682668837,1.78316690442225e-05,1,0.24594291013958,1,92
"DawsonS","DawsonS",NA,NA,NA,"N",NA,1,0,0.000915630353425171,1.77698800533096e-05,1,0.267647289274166,1,93
"DayD","DayD",NA,NA,NA,"N",NA,1,0,0.00917104689052663,1.78418498429917e-05,1,0.185093123903151,1,94
