"","name","gender","instType","country","lead","degOut","degIn"
"340","SilvaF",NA,NA,NA,"N",NA,1
"341","SilvaK",NA,NA,NA,"N",NA,1
"342","SilvaM",NA,NA,NA,"N",NA,1
"343","SilvaS",NA,NA,NA,"N",NA,1
"344","SimõesLopesP","Male","University","Brazil","Y",1,3
"345","SoaresFilhoA",NA,NA,NA,"N",NA,1
"346","SoléCavaA","Male","University","Brazil","Y",5,NA
"347","SonninoSorisioL","Male","Other","Italy","Y",2,NA
"348","SousaLimaR",NA,NA,NA,"N",NA,1
"349","SoutoL","Male","NGO","Brazil","Y",3,NA
"350","SouzaSM",NA,NA,NA,"N",NA,2
"351","SouzaSP","Female","NGO","Brazil","Y",3,1
"352","StolenM",NA,NA,NA,"N",NA,1
"353","SuarezA","Female","Government","Argentina","Y",3,NA
"354","SuárezE",NA,NA,NA,"N",NA,1
"355","SutariaD",NA,NA,NA,"N",NA,1
"356","SvendsenG",NA,NA,NA,"N",NA,1
"357","SzephegyiM",NA,NA,NA,"N",NA,1
"358","SzterenD","Female","University","Uruguay","Y",2,NA
"359","TaniguchiS",NA,NA,NA,"N",NA,1
"360","TobónI",NA,NA,NA,"N",NA,1
"361","TomsinA",NA,NA,NA,"N",NA,1
"362","TonelloA",NA,NA,NA,"N",NA,1
"363","TrimbleM","Female","University","Uruguay","Y",1,NA
"364","TrujilloF",NA,NA,NA,"N",NA,6
"365","UrbánRamírezJ","Male","University","México","Y",5,3
"366","UtrerasV",NA,NA,NA,"N",4,3
"367","VanBressemM","Female","NGO","Perú","Y",25,NA
"368","vanHeldenA",NA,NA,NA,"N",NA,1
"369","VanWaerebeekK","Male","NGO","Perú","Y",14,5
"370","VaskeT",NA,NA,NA,"N",NA,1
"371","VázquezJuárezR",NA,NA,NA,"N",NA,1
"372","VelascoEscuderoM",NA,NA,NA,"N",NA,1
"373","VenturottiA",NA,NA,NA,"N",NA,2
"374","VeraN",NA,NA,NA,"N",NA,1
"375","VergaraParenteJ",NA,NA,NA,"N",NA,2
"376","VianaD",NA,NA,NA,"N",NA,1
"377","ViannaJ",NA,NA,NA,"N",NA,2
"378","VicenteA",NA,NA,NA,"N",NA,3
"379","ViddiF",NA,NA,NA,"N",NA,1
"380","ViolanteT",NA,NA,NA,"N",NA,1
"381","VisserI",NA,NA,NA,"N",NA,1
"382","VivoM",NA,NA,NA,"N",NA,1
"383","WalshM",NA,NA,NA,"N",NA,1
"384","WangJ",NA,NA,NA,"N",NA,2
"385","WangY",NA,NA,NA,"N",NA,1
"386","WartzokD",NA,NA,NA,"N",NA,1
"387","WedekinL","Male","University","Brazil","Y",2,3
"388","WeiskelH","Female","NGO","USA","Y",2,1
"389","WellsR",NA,NA,NA,"N",NA,1
"390","WerneckM",NA,NA,NA,"N",NA,1
"391","WetzelD",NA,NA,NA,"N",NA,1
"392","WilliamsonC",NA,NA,NA,"N",NA,1
"393","WurdigN",NA,NA,NA,"N",NA,1
"394","YatesO","Male","Other","Chile","Y",2,NA
"395","YoungR",NA,NA,NA,"N",NA,1
"396","ZampirolliE",NA,NA,NA,"N",NA,3
"397","ZanelattoR",NA,NA,NA,"N",NA,1
"398","ZapataRíosG","Male","NGO","Ecuador","Y",1,1
"399","ZerbiniA",NA,NA,NA,"N",NA,4
"400","ZeregaA",NA,NA,NA,"N",NA,1
