BIGRAM,FREC
low urine,2
young male,2
cause concern,2
breeding nursing,2
three year,2
within km,2
determine group,2
adult calf,2
morning afternoon,2
mean number,2
number adult,2
size indeterminate,2
group calf,2
purse seine,2
distribution coastal,2
area divide,2
proportion sea,2
season dolphin,2
difference group,2
presence absence,2
attenuata graffmani,2
biology distribution,2
collect along,2
along northern,2
reproductive status,2
status determine,2
one female,2
analysis stomach,2
five dolphin,2
larval stage,2
dolphin strandings,2
brazilian uruguayan,2
summer sighting,2
sighting dwarf,2
close proximity,2
upwelling ecosystem,2
whale western,2
leonina coast,2
brazil data,2
counting growth,2
left ovary,2
cm kg,2
maturity female,2
female attain,2
ci year,2
throughout life,2
fishery small,2
janeiro brazil,2
impact specie,2
interviewswith fisherman,2
gillnet fleet,2
divide two,2
two fishing,2
area ii,2
mile shore,2
water deep,2
km net,2
show seasonal,2
fishing trip,2
franciscanas marine,2
first mile,2
within limit,2
limit distribution,2
impact coastal,2
dolphin cephalorhynchus,2
cephalorhynchus commersonii,2
santa cruz,2
cruz argentina,2
february commerson,2
coast la,2
net set,2
set water,2
november february,2
estimate catch,2
effort cpue,2
action mitigate,2
base sample,2
strand coast,2
curve neck,2
tetrabothrius sp,2
consumption marine,2
shark notorynchus,2
food habit,2
notorynchus cepedianus,2
argentine water,2
southern brazilian,2
new record,2
measurement present,2
euphausia similis,2
ecological approach,2
upper post,2
reduce teeth,2
otariid specie,2
could interpret,2
mandibular teeth,2
teeth sex,2
low canine,2
animal strand,2
method reliable,2
discriminant function,2
level surface,2
whale show,2
show significantly,2
high surface,2
large four,2
intensity level,2
difference also,2
show clear,2
implication finding,2
range movement,2
brazil marine,2
area calculate,2
km day,2
rate movement,2
autumn respectively,2
specific regulation,2
enter bay,2
within bay,2
infishing gear,2
cause habitat,2
coastal gillnet,2
fishing operation,2
shark gillnet,2
brazil argentina,2
southern rio,2
estimate franciscanas,2
non parametric,2
parametric ci,2
ci dolphin,2
franciscana bycatch,2
brazil antillean,2
strand dead,2
cause strand,2
year study,2
antarctic minke,2
australis zimmermann,2
zimmermann carnivora,2
carnivora otariidae,2
skull arctocephalus,2
glgs dentine,2
old male,2
age respectively,2
principal component,2
component analysis,2
analysis pca,2
total variation,2
brazil growth,2
four technique,2
technique external,2
external ring,2
technique technique,2
thin section,2
fishery dietary,2
catch data,2
prey ingest,2
diverse diet,2
pinniped fishery,2
artisanal fisheriescatches,2
well represent,2
pinniped specie,2
flavescens arctocephalus,2
cetacean remains,2
remains strandings,2
delphi ziphius,2
northern record,2
gervais beak,2
europaeus gervais,2
low jaw,2
northern hemisphere,2
ziphiidae mesoplodon,2
orientation pelvic,2
guianensis pontoporia,2
bone specie,2
innominate bone,2
dolphin gulf,2
gulf mexico,2
coast bahia,2
strandings south,2
generalize linear,2
linear model,2
estimate annual,2
specie result,2
north south,2
prove useful,2
australis southern,2
different specie,2
age sex,2
high frequency,2
record year,2
observe animal,2
probably due,2
dimorphism skull,2
female australis,2
analyze use,2
body size,2
per year,2
year cl,2
distribution throughout,2
activity southern,2
whale population,2
population increase,2
social interaction,2
tucuxis bottlenose,2
gandoca manzanillo,2
frequency occurrence,2
dolphin two,2
social behavior,2
specie group,2
group large,2
document two,2
sei whale,2
tropical atlantic,2
strike mortality,2
training method,2
method use,2
animal use,2
positive reinforcement,2
animal train,2
command behavior,2
collect biological,2
identity keeper,2
consider method,2
endanger specie,2
biological data,2
presence blue,2
southern bottlenose,2
bottlenose whale,2
natural history,2
vertebral formula,2
ziphiid whale,2
continuous distribution,2
mesoplodon bowdoini,2
uruguayan specimen,2
similar adult,2
range specie,2
developed similar,2
hector beak,2
argentina beak,2
skull shape,2
mesoplodon hectori,2
western tropical,2
atlantic south,2
porpoise phocoena,2
spinipinnis paita,2
catarina brazil,2
northern boundary,2
subtropical convergence,2
south arauco,2
arauco gulf,2
malvinas current,2
coast inaddition,2
throughout range,2
diet south,2
diet seasonality,2
puerto quequï¿½n,2
consume sea,2
teleost fish,2
four specie,2
main pattern,2
wide range,2
californianus californianus,2
los islotes,2
paz mexico,2
determine base,2
one year,2
coast santa,2
origin ambergris,2
ambergris occurs,2
squid beak,2
indigestible material,2
liquid faeces,2
whale pygmy,2
use small,2
cetacean abrolhos,2
bank eastern,2
use group,2
sample effort,2
bredanensis bottlenose,2
distance near,2
near coral,2
coral reef,2
concentrate near,2
bank brazil,2
predatory behavior,2
fishing port,2
buceo piriï¿½polis,2
paloma cabo,2
time period,2
winter spring,2
use number,2
number prey,2
selection rejection,2
represent small,2
live capture,2
occur cuban,2
potential threat,2
international trade,2
wider caribbean,2
colour franciscana,2
colouration pattern,2
variation colour,2
th century,2
great variation,2
franciscana colour,2
franciscana population,2
captive giant,2
pregnant female,2
interaction killer,2
sphyrna sp,2
comment flores,2
flores bazzalo,2
seasonal use,2
amazon floodplain,2
fluviatilis gervais,2
riverine tucuxi,2
tucuxis occur,2
influence tucuxi,2
guianensis bottlenose,2
dolphin sighting,2
sighting collect,2
although seasonal,2
tucuxis found,2
estimate body,2
tl cm,2
volume index,2
obtain body,2
bm bv,2
sex combine,2
combine model,2
attenuata gray,2
venezuela southeastern,2
southeastern caribbean,2
record since,2
occurrence santa,2
marta region,2
region colombian,2
cetacean distribution,2
mako shark,2
isurus oxyrinchus,2
skin skeletal,2
disease skin,2
brazil venezuela,2
colombia ecuador,2
ecuador peru,2
peru brazil,2
traumatic injury,2
lagenorhynchus obscurus,2
specie peru,2
cervical vertebra,2
cetacean worldwide,2
large whale,2
whale southern,2
collision record,2
identify specie,2
cause mortality,2
vessel strike,2
hong kong,2
irrawaddy dolphin,2
dolphin mahakam,2
yangtze river,2
specie report,2
strand baird,2
whale san,2
san jose,2
whale berardius,2
berardius bairdii,2
seasonal movement,2
peak abundance,2
orca sea,2
lion island,2
feed strategy,2
hawaiian archipelago,2
revillagigedo archipelago,2
novaeangliae migration,2
austral winter,2
one adult,2
one juvenile,2
herd manatee,2
manatee move,2
survey along,2
specie along,2
distribution manatee,2
guianensis cearï¿½,2
high level,2
bahï¿½a blanca,2
fishing gear,2
compare pair,2
male australis,2
expect chance,2
technique apply,2
budget distribution,2
truncatus patos,2
behavioral activity,2
sub area,2
observe behavior,2
behavior feed,2
dusky dolphin,2
offshore common,2
coast marcona,2
fed mainly,2
dolphin consume,2
consume mainly,2
mainly anchovy,2
mote sculpin,2
sardinops sagax,2
school fish,2
prey habitat,2
musculus feed,2
water ecuador,2
costal water,2
past year,2
central coast,2
bpue aoc,2
per fishing,2
first stage,2
second stage,2
franciscanas per,2
per net,2
report herein,2
highly recommend,2
southwestern gulf,2
rare specie,2
odontocete sighting,2
increase presence,2
seasonal environmental,2
eat specie,2
presence aggregation,2
northern peru,2
order provide,2
manatee diet,2
diet composition,2
season sex,2
found sample,2
test difference,2
parasite pulmonicola,2
cochleotrema antillean,2
dolphin genus,2
genus sotalia,2
tucuxi fluviatilis,2
maximum age,2
yr maximum,2
throughout distribution,2
mitochondrial dna,2
diversity differentiation,2
riverine coastal,2
phylogeography population,2
high mitochondrial,2
diversity among,2
gene flow,2
major histocompatibility,2
histocompatibility complex,2
class ii,2
ii locus,2
locus dqa,2
dqb sotalia,2
dolphin use,2
balance selection,2
status tucuxi,2
samiria reserve,2
tucuxi km,2
rate high,2
tucuxis see,2
see within,2
guianensis cetacea,2
pattern guiana,2
sand banksand,2
residence pattern,2
guianensis babitonga,2
identification video,2
biphenyls pcbs,2
pcbs guiana,2
napo aguarico,2
aguarico river,2
river ecuador,2
broadband record,2
record system,2
pulse sound,2
morphology guiana,2
area could,2
anomaly found,2
cleft neural,2
neural arch,2
specimen rio,2
part vii,2
reproduction growth,2
growth female,2
graafian follicle,2
number corpus,2
attain long,2
long yr,2
ovarian corpus,2
yr old,2
pacific may,2
american journal,2
journal aquatic,2
primary affiliation,2
cluster author,2
among lead,2
coast honduras,2
per survey,2
estimate pink,2
pink river,2
inia dolphin,2
occurrence pinniped,2
pinniped santa,2
